date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z
2016-11-19,1,16.01009174311927,15.012844036697249,15.361467889908266,92.50458715596329,9.0,13.8,9.2,72.0,25.9,17.0,23.9,99.0,12.43125,14.454166666666666,12.264583333333333,87.45833333333331,6.4,13.1,6.6,50.0,22.0,15.8,20.6,99.0,13.025000000000002,15.35000000000001,12.738888888888896,85.1736111111111,7.7,14.1,8.1,52.0,26.3,16.9,22.8,99.0
2016-11-20,1,15.886238532110086,15.82752293577981,15.56146788990826,99.0,13.4,15.1,13.4,99.0,22.0,16.7,20.2,99.0,15.334722222222226,15.240972222222213,14.85833333333334,94.08333333333331,9.0,13.8,9.2,72.0,25.9,17.0,23.9,99.0,12.43125,14.454166666666666,12.264583333333333,87.45833333333331,6.4,13.1,6.6,50.0,22.0,15.8,20.6,99.0
2016-11-21,1,17.889908256880734,16.617431192660558,17.399082568807334,93.05504587155964,13.0,15.6,13.1,74.0,24.9,18.0,23.7,99.0,15.674305555555556,15.956944444444444,15.425694444444455,99.0,13.4,15.1,13.4,99.0,22.0,16.7,20.2,99.0,15.334722222222226,15.240972222222213,14.85833333333334,94.08333333333331,9.0,13.8,9.2,72.0,25.9,17.0,23.9,99.0
2016-11-22,1,16.472477064220186,16.690825688073396,16.189908256880727,98.34862385321101,13.1,16.1,13.2,93.0,21.5,17.4,20.2,99.0,17.29583333333333,16.747222222222227,16.924305555555552,94.5,13.0,15.6,13.1,74.0,24.9,18.0,23.7,99.0,15.674305555555556,15.956944444444444,15.425694444444455,99.0,13.4,15.1,13.4,99.0,22.0,16.7,20.2,99.0
2016-11-23,1,17.724770642201836,17.137614678899087,17.367889908256878,89.79816513761467,14.2,16.4,14.3,63.0,23.5,18.1,22.4,99.0,16.39027777777777,16.77638888888888,16.162499999999998,98.50694444444444,13.1,16.1,13.2,93.0,21.5,17.4,20.2,99.0,17.29583333333333,16.747222222222227,16.924305555555552,94.5,13.0,15.6,13.1,74.0,24.9,18.0,23.7,99.0
2016-11-24,1,14.12293577981651,15.885321100917439,13.866972477064216,88.0091743119266,11.6,15.6,11.8,56.0,19.0,16.2,17.6,99.0,16.564583333333335,17.03680555555556,16.297916666666666,92.02777777777777,12.3,16.2,12.2,63.0,23.5,18.1,22.4,99.0,16.39027777777777,16.77638888888888,16.162499999999998,98.50694444444444,13.1,16.1,13.2,93.0,21.5,17.4,20.2,99.0
2016-11-25,1,12.721100917431194,14.606422018348628,12.421100917431195,97.95412844036696,9.2,14.0,9.3,75.0,22.7,15.8,20.7,99.0,13.303472222222226,15.690972222222236,13.13680555555555,89.50694444444444,10.3,14.7,10.4,56.0,19.0,16.2,17.6,99.0,16.564583333333335,17.03680555555556,16.297916666666666,92.02777777777777,12.3,16.2,12.2,63.0,23.5,18.1,22.4,99.0
2016-11-26,1,11.782568807339448,13.541284403669724,11.405504587155972,90.69724770642202,6.0,12.3,6.0,62.0,22.1,15.0,20.5,99.0,11.724305555555553,14.513888888888884,11.517361111111116,98.20833333333331,7.6,13.6,7.5,75.0,22.7,15.8,20.7,99.0,13.303472222222226,15.690972222222236,13.13680555555555,89.50694444444444,10.3,14.7,10.4,56.0,19.0,16.2,17.6,99.0
2016-11-27,1,14.881651376146788,14.467889908256884,14.381651376146786,92.03669724770643,10.3,13.6,10.5,75.0,24.6,16.1,22.8,99.0,11.676388888888885,13.677777777777779,11.31597222222223,92.59722222222223,6.0,12.3,6.0,62.0,22.1,15.0,20.5,99.0,11.724305555555553,14.513888888888884,11.517361111111116,98.20833333333331,7.6,13.6,7.5,75.0,22.7,15.8,20.7,99.0
2016-11-28,1,16.441284403669727,15.709174311926615,15.949541284403667,98.54128440366972,13.6,15.2,13.5,94.0,24.4,16.5,22.4,99.0,14.766666666666666,14.679861111111116,14.323611111111108,93.65972222222223,10.3,13.6,10.5,75.0,24.6,16.1,22.8,99.0,11.676388888888885,13.677777777777779,11.31597222222223,92.59722222222223,6.0,12.3,6.0,62.0,22.1,15.0,20.5,99.0
