T20_mean_x,H_mean_x,T60_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,T20_mean_y,H_mean_y,T60_min_y,H_min_y,T20_max_y,T60_max_y,H_max_y,T20_mean_z,H_mean_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,T20_mean_a,H_mean_a,T60_min_a,H_min_a,T20_max_a,T60_max_a,H_max_a,T20_mean_b,H_mean_b,T20_min_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b,housa_x,housa_y,housa_z,housa_a,housa_b
17.889908256880734,93.05504587155964,13.1,74.0,24.9,23.7,99.0,15.674305555555556,99.0,13.4,99.0,22.0,20.2,99.0,15.334722222222226,94.08333333333331,9.2,72.0,25.9,23.9,99.0,12.43125,87.45833333333331,6.6,50.0,22.0,20.6,99.0,13.025000000000002,85.1736111111111,7.7,8.1,52.0,26.3,16.9,22.8,99.0,0.8906120572890879,0.1155542463076338,0.6633454366767892,1.2227501435871997,1.483197571196533
16.472477064220186,98.34862385321101,13.2,93.0,21.5,20.2,99.0,17.29583333333333,94.5,13.1,74.0,24.9,23.7,99.0,15.674305555555556,99.0,13.4,99.0,22.0,20.2,99.0,15.334722222222226,94.08333333333331,9.2,72.0,25.9,23.9,99.0,12.43125,87.45833333333331,6.4,6.6,50.0,22.0,15.8,20.6,99.0,0.1987121881616748,0.6879505846793629,0.1155542463076338,0.6633454366767892,1.2227501435871997
17.724770642201836,89.79816513761467,14.3,63.0,23.5,22.4,99.0,16.39027777777777,98.50694444444444,13.2,93.0,21.5,20.2,99.0,17.29583333333333,94.5,13.1,74.0,24.9,23.7,99.0,15.674305555555556,99.0,13.4,99.0,22.0,20.2,99.0,15.334722222222226,94.08333333333331,9.0,9.2,72.0,25.9,17.0,23.9,99.0,1.3061330681465957,0.17940112942088074,0.6879505846793629,0.1155542463076338,0.6633454366767892
14.12293577981651,88.0091743119266,11.8,56.0,19.0,17.6,99.0,16.564583333333335,92.02777777777777,12.2,63.0,23.5,22.4,99.0,16.39027777777777,98.50694444444444,13.2,93.0,21.5,20.2,99.0,17.29583333333333,94.5,13.1,74.0,24.9,23.7,99.0,15.674305555555556,99.0,13.4,13.4,99.0,22.0,16.7,20.2,99.0,1.2748311837355373,0.9647983898132859,0.17940112942088074,0.6879505846793629,0.1155542463076338
12.721100917431194,97.95412844036696,9.3,75.0,22.7,20.7,99.0,13.303472222222226,89.50694444444444,10.4,56.0,19.0,17.6,99.0,16.564583333333335,92.02777777777777,12.2,63.0,23.5,22.4,99.0,16.39027777777777,98.50694444444444,13.2,93.0,21.5,20.2,99.0,17.29583333333333,94.5,13.0,13.1,74.0,24.9,18.0,23.7,99.0,0.20116608900924696,1.0725473782264578,0.9647983898132859,0.17940112942088074,0.6879505846793629
11.782568807339445,90.69724770642202,6.0,62.0,22.1,20.5,99.0,11.724305555555553,98.20833333333331,7.5,75.0,22.7,20.7,99.0,13.303472222222226,89.50694444444444,10.4,56.0,19.0,17.6,99.0,16.564583333333335,92.02777777777777,12.2,63.0,23.5,22.4,99.0,16.39027777777777,98.50694444444444,13.1,13.2,93.0,21.5,17.4,20.2,99.0,0.8654546795657307,0.1677053376774979,1.0725473782264578,0.9647983898132859,0.17940112942088074
14.881651376146786,92.03669724770643,10.5,75.0,24.6,22.8,99.0,11.676388888888884,92.59722222222223,6.0,62.0,22.1,20.5,99.0,11.724305555555553,98.20833333333331,7.5,75.0,22.7,20.7,99.0,13.303472222222226,89.50694444444444,10.4,56.0,19.0,17.6,99.0,16.564583333333335,92.02777777777777,12.3,12.2,63.0,23.5,18.1,22.4,99.0,0.8703395670863998,0.6853295762848437,0.1677053376774979,1.0725473782264578,0.9647983898132859
16.441284403669727,98.54128440366972,13.5,94.0,24.4,22.4,99.0,14.766666666666666,93.65972222222223,10.5,75.0,24.6,22.8,99.0,11.676388888888884,92.59722222222223,6.0,62.0,22.1,20.5,99.0,11.724305555555553,98.20833333333331,7.5,75.0,22.7,20.7,99.0,13.303472222222226,89.50694444444444,10.3,10.4,56.0,19.0,16.2,17.6,99.0,0.17331099018528487,0.6908021432879068,0.6853295762848437,0.1677053376774979,1.0725473782264578
14.824770642201836,88.62385321100918,12.1,65.0,21.5,19.1,99.0,15.963888888888883,98.65277777777777,13.5,94.0,24.4,22.4,99.0,14.766666666666666,93.65972222222223,10.5,75.0,24.6,22.8,99.0,11.676388888888884,92.59722222222223,6.0,62.0,22.1,20.5,99.0,11.724305555555553,98.20833333333331,7.6,7.5,75.0,22.7,15.8,20.7,99.0,1.2418159450476818,0.15684172686062006,0.6908021432879068,0.6853295762848437,0.1677053376774979
14.773394495412846,85.55045871559633,11.6,54.0,20.3,18.7,99.0,14.422916666666667,90.56944444444444,12.1,65.0,21.5,19.1,99.0,15.963888888888883,98.65277777777777,13.5,94.0,24.4,22.4,99.0,14.766666666666666,93.65972222222223,10.5,75.0,24.6,22.8,99.0,11.676388888888884,92.59722222222223,6.0,6.0,62.0,22.1,15.0,20.5,99.0,1.5506102797264512,1.0081658426682925,0.15684172686062006,0.6908021432879068,0.6853295762848437
