date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
2018-05-29,0,27.4375,25.20750000000001,26.36875000000001,76.95,21.3,23.7,21.7,49.0,37.0,28.0,35.5,100.0,4.661641792004159,27.43263888888889,26.363194444444442,27.08402777777779,82.52083333333333,23.3,25.1,23.9,55.0,35.7,28.2,34.6,100.0,3.661342892241629,28.677083333333357,27.09513888888889,27.84999999999999,87.47916666666669,24.7,25.9,25.0,64.0,35.8,28.7,34.2,100.0,2.722717069801732,50.0
2018-05-30,0,23.73333333333332,23.4125,23.292361111111113,86.82847222222217,19.4,21.8,19.2,65.7,31.3,24.8,28.9,100.0,2.2858081735989164,27.4375,25.20750000000001,26.36875000000001,76.95,21.3,23.7,21.7,49.0,37.0,28.0,35.5,100.0,4.661641792004159,27.43263888888889,26.363194444444442,27.08402777777779,82.52083333333333,23.3,25.1,23.9,55.0,35.7,28.2,34.6,100.0,3.661342892241629,51.0
2018-05-31,0,22.12708333333333,23.04513888888888,22.079861111111125,88.19236111111113,19.1,22.0,19.2,72.5,28.9,24.4,28.9,97.9,1.9274264698915404,23.73333333333332,23.4125,23.292361111111113,86.82847222222217,19.4,21.8,19.2,65.7,31.3,24.8,28.9,100.0,2.2858081735989164,27.4375,25.20750000000001,26.36875000000001,76.95,21.3,23.7,21.7,49.0,37.0,28.0,35.5,100.0,4.661641792004159,52.0
2018-06-01,0,19.822222222222205,21.659027777777773,19.983333333333327,90.05625000000003,17.9,21.0,18.1,75.1,24.8,22.3,24.6,97.2,1.4583243869499127,22.12708333333333,23.04513888888888,22.079861111111125,88.19236111111113,19.1,22.0,19.2,72.5,28.9,24.4,28.9,97.9,1.9274264698915404,23.73333333333332,23.4125,23.292361111111113,86.82847222222217,19.4,21.8,19.2,65.7,31.3,24.8,28.9,100.0,2.2858081735989164,53.0
2018-06-02,0,24.36944444444444,23.39930555555557,25.287500000000005,66.05416666666667,16.0,20.0,16.1,34.9,35.1,27.4,39.5,95.4,6.50812301367742,19.822222222222205,21.659027777777773,19.983333333333327,90.05625000000003,17.9,21.0,18.1,75.1,24.8,22.3,24.6,97.2,1.4583243869499127,22.12708333333333,23.04513888888888,22.079861111111125,88.19236111111113,19.1,22.0,19.2,72.5,28.9,24.4,28.9,97.9,1.9274264698915404,54.0
2018-06-03,0,24.21041666666667,24.059722222222234,24.836111111111112,73.2097222222222,16.8,21.2,16.9,40.4,33.5,27.4,36.7,100.0,5.0223881850580545,24.36944444444444,23.39930555555557,25.287500000000005,66.05416666666667,16.0,20.0,16.1,34.9,35.1,27.4,39.5,95.4,6.50812301367742,19.822222222222205,21.659027777777773,19.983333333333327,90.05625000000003,17.9,21.0,18.1,75.1,24.8,22.3,24.6,97.2,1.4583243869499127,55.0
2018-06-04,0,25.132638888888888,24.73194444444445,25.79930555555555,70.1875,17.3,21.9,17.5,34.5,34.2,28.0,39.1,93.9,5.862330515172597,24.21041666666667,24.059722222222234,24.836111111111112,73.2097222222222,16.8,21.2,16.9,40.4,33.5,27.4,36.7,100.0,5.0223881850580545,24.36944444444444,23.39930555555557,25.287500000000005,66.05416666666667,16.0,20.0,16.1,34.9,35.1,27.4,39.5,95.4,6.50812301367742,56.0
2018-06-05,0,25.815972222222207,25.05208333333334,26.226388888888888,69.72569444444447,17.6,22.4,18.0,37.1,34.7,27.9,38.6,91.9,6.079916812655659,25.132638888888888,24.73194444444445,25.79930555555555,70.1875,17.3,21.9,17.5,34.5,34.2,28.0,39.1,93.9,5.862330515172597,24.21041666666667,24.059722222222234,24.836111111111112,73.2097222222222,16.8,21.2,16.9,40.4,33.5,27.4,36.7,100.0,5.0223881850580545,57.0
2018-06-06,0,24.540277777777792,24.614583333333343,24.49791666666667,80.25069444444442,18.3,23.0,18.7,43.8,33.8,26.6,35.4,99.8,3.640576995599537,25.815972222222207,25.05208333333334,26.226388888888888,69.72569444444447,17.6,22.4,18.0,37.1,34.7,27.9,38.6,91.9,6.079916812655659,25.132638888888888,24.73194444444445,25.79930555555555,70.1875,17.3,21.9,17.5,34.5,34.2,28.0,39.1,93.9,5.862330515172597,58.0
2018-06-07,0,21.291666666666664,23.13958333333333,20.286111111111094,96.96319444444441,18.0,21.8,14.0,90.4,26.4,24.1,26.4,100.0,0.4523560080112348,24.540277777777792,24.614583333333343,24.49791666666667,80.25069444444442,18.3,23.0,18.7,43.8,33.8,26.6,35.4,99.8,3.640576995599537,25.815972222222207,25.05208333333334,26.226388888888888,69.72569444444447,17.6,22.4,18.0,37.1,34.7,27.9,38.6,91.9,6.079916812655659,59.0
